max_depth,min_samples_split,min_samples_leaf,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
10,5,50,0.47658979734451434,0.49506346967559944,0.4449275362318841,0.5021097046413502,0.49746192893401014,0.48323048736547164,0.021024714380541737,92,1.0196152210235596,0.40833050975465357,0.06414856910705566,0.026258225927882062
10,10,50,0.47658979734451434,0.49506346967559944,0.4449275362318841,0.5021097046413502,0.49746192893401014,0.48323048736547164,0.021024714380541737,92,1.0248300552368164,0.3986084780742939,0.060995960235595705,0.018307616297083065
10,20,50,0.47658979734451434,0.49506346967559944,0.4449275362318841,0.5021097046413502,0.49746192893401014,0.48323048736547164,0.021024714380541737,92,0.7261402130126953,0.22198936802293437,0.05676965713500977,0.014122195196402725
10,50,50,0.47658979734451434,0.49506346967559944,0.4449275362318841,0.5021097046413502,0.49746192893401014,0.48323048736547164,0.021024714380541737,92,0.8298525333404541,0.21319598714152999,0.054657697677612305,0.014318335995000306
10,100,50,0.47658979734451434,0.49506346967559944,0.4449275362318841,0.5021097046413502,0.49746192893401014,0.48323048736547164,0.021024714380541737,92,1.0607452869415284,0.4197806284184057,0.07546281814575195,0.03851931624926824
15,10,2,0.47301798800799466,0.4914134742404227,0.46132785763175904,0.49966777408637875,0.48897795591182364,0.48288100997567573,0.013810059549335204,98,2.0240738868713377,0.45373178966041766,0.06982007026672363,0.013737803308151298
7,100,5,0.48830811554332876,0.4873096446700508,0.450476889214967,0.49640287769784175,0.4907338769458858,0.48264628081441485,0.016391011316115364,99,0.5912816047668457,0.14249890240036173,0.06086788177490234,0.006914715456098967
7,100,1,0.4879725085910653,0.48914616497829233,0.449669360764144,0.49640287769784175,0.4895833333333333,0.48255484907293533,0.01670580323792387,100,0.5189838409423828,0.11466309552760137,0.0505558967590332,0.016773392440129146
10,20,5,0.47983595352016406,0.5057941376959781,0.47719298245614034,0.49226441631504925,0.45743893412287195,0.4825052848220407,0.01613244642998316,101,0.9140568256378174,0.2124186874317796,0.04683041572570801,0.011582896725155806
7,100,10,0.48261758691206547,0.49416909620991256,0.46153846153846156,0.48644688644688644,0.4865269461077844,0.4822597954430221,0.011018833369701993,102,0.45844235420227053,0.05420132706715943,0.050036287307739256,0.016224631408250385
7,100,2,0.48693259972489683,0.48914616497829233,0.44900953778429936,0.49640287769784175,0.4895833333333333,0.48221490270373274,0.01690258989452012,103,0.5381507873535156,0.09024748880112785,0.05823216438293457,0.016704100496545336
10,50,2,0.4820801124385102,0.4965612104539202,0.48951048951048953,0.47748391708363114,0.46025738077214234,0.4811786220517387,0.012314267397608408,104,0.6815426349639893,0.19431463813649616,0.04728407859802246,0.007922874968075451
10,50,1,0.48314606741573035,0.4955264969029594,0.4891684136967156,0.47714285714285715,0.4599092284417549,0.4809786127200034,0.012182311839786401,105,0.7728119850158691,0.21696642278307274,0.05691695213317871,0.012356417655781089
